RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,AVERAGE PROPERTY TAX,SALES TAX,INCOME TAX ($),NEW CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,DOCTORS PER '000
184,"Prince Albert, Sask.",44.754,3.60%,9.7,"$79,216.63","$298,294.00","$347,536.00",4.39,"$1,577.00",10.00%,10195,14.85%,6.12,0.95,0.54,327.22,121.34,74.82,156.2,94.29,58.39,1.44,2.72,-12.38%,17117.41,203.21,217.47,2.19,2.52
185,"Summerside, PEI",16.697,2.40%,12.5,"$61,894.70","$150,216.00","$146,670.00",2.37,"$1,191.00",14.00%,11117,15.30%,6.51,0.89,0.12,809.11,177.93,132.87,206.5,76.74,5.91,5.74,0.43,8.43%,14020.45,135.36,89.03,2.16,3.11
186,"Williams Lake, B.C.",19.443,-0.60%,11.5,"$69,731.58","$213,356.00","$203,818.00",2.92,"$1,271.00",12.00%,8611,14.49%,6.16,1.14,0.98,307.55,137.37,89.39,179.1,71.07,14.19,4.52,0.12,-14.22%,30984.74,241.23,272.53,1.03,2.52
187,"Bay Roberts, Nfld.",11.072,4.10%,15.5,"$77,554.67","$201,051.00","$184,168.00",2.37,"$1,524.00",13.00%,10198,20.57%,5.8,-,1.01,1014.99,158.09,137.26,213,60.33,1.05,6.28,0.16,21.16%,3842.05,39.4,29.53,0.45,0.63
188,"Elliot Lake, Ont.",11.615,-1.50%,16.6,"$53,699.17","$132,866.00","$105,136.00",1.96,"$1,149.00",13.00%,8694,18.27%,14.01,1.1,1.51,782.65,137.33,95.08,189,92.29,18.72,4.86,1.54,-12.56%,5496.65,64.76,70.66,0.34,1.29
189,"Miramichi, N.B.",28.52,-0.80%,16.1,"$63,087.83","$153,430.00","$106,491.00",1.69,"$1,212.00",13.00%,10725,19.65%,5.38,0.24,0.38,793.86,161.68,123.86,183.1,97.15,24.39,4.87,5.89,-18.32%,6559.33,62.42,44.31,1.26,2.42
190,"Kawartha Lakes, Ont.",75.515,-1.60%,8.5,"$75,967.66","$374,580.00","$281,322.00",3.7,"$1,942.00",13.00%,8694,15.15%,5.3,0.68,0.55,712.54,160.25,119.97,195,117.2,17.08,6.22,6.84,-36.91%,9643.52,90.93,119.87,0.7,1.03
191,"Truro, N.S.",47.021,1.20%,10.3,"$63,462.54","$204,625.00","$161,810.00",2.55,"$1,191.00",15.00%,11159,17.86%,7.97,0.47,0.24,979.48,175.22,140.42,197.1,90.13,9.66,6.03,0.86,-21.26%,13266.69,112.32,91.84,1.08,2.19
192,"Shawinigan, Que.",55.5,-0.70%,8.2,"$53,338.74","$159,004.00","$128,249.00",2.4,"$1,220.00",14.98%,11302,14.45%,7.39,0.6,1.55,863.88,161.11,119.51,196.6,104.15,27.11,5.23,8.24,-12.12%,6910.38,82.56,79.38,1.24,2.32
193,Hawkesbury (Que./Ont.),12.547,-1.80%,9.4,"$56,055.95","$209,445.00","$197,439.00",3.52,"$1,209.00",14.98%,11302,18.67%,9.12,1.32,1.86,849.19,134.59,103.98,197.5,113.56,23.12,5.95,11.38,-16.79%,9158.74,107.27,120.56,1.59,2.79
194,"Midland, Ont.",36.802,-1.10%,10.8,"$68,015.10","$297,841.00","$246,566.00",3.63,"$1,824.00",13.00%,8694,15.35%,6.91,0.97,0.79,713.95,164.32,112.39,199.6,109.11,11.88,6.51,8.75,-17.83%,7989.69,89.93,96.93,0.95,1.79
195,"Prince Rupert, B.C.",13.443,-1.20%,14.6,"$70,323.57","$168,778.00","$218,044.00",3.1,"$1,297.00",12.00%,8611,13.91%,15.79,1.1,3.45,2530.35,243.5,235.94,285.9,6.44,0.04,7.5,0,4.95%,28233.55,165.81,177.78,1.19,1.56
196,"Cape Breton, N.S.",102.924,-2.90%,16.5,"$61,893.52","$138,933.00","$140,158.00",2.26,"$1,167.00",15.00%,11159,16.75%,5.76,0.21,1.52,1242.36,190.99,146.91,204.4,74.93,2.73,5.86,1.2,-12.13%,6991.78,72.41,62.09,1.13,2.17
197,"Matane, Que.",18.592,-0.50%,9.6,"$55,703.49","$149,453.00","$139,660.00",2.51,"$1,335.00",14.98%,11302,20.98%,7.5,0.56,1.08,670.52,166.02,110.27,183.5,50.76,19.26,2.99,0.54,-8.88%,4914.87,65.1,86.01,1.67,1.83
198,"New Glasgow, N.S.",36.625,0.40%,11.3,"$62,756.48","$184,614.00","$145,805.00",2.32,"$1,234.00",15.00%,11159,21.30%,5.81,0.42,0.39,953.27,158.7,120.11,203.8,89.25,5.79,6.63,3.2,-16.43%,11770.49,94.38,95.08,0.71,1.91
199,"Lachute, Que.",13.374,11.40%,8.2,"$57,090.03","$201,775.00","$217,163.00",3.8,"$1,338.00",14.98%,11302,16.47%,8.54,0.51,0.55,940.09,166.91,125.3,203.8,110.71,21.08,5.98,9.26,-7.68%,6895.21,110.24,94.92,0.6,2.54
200,"Dolbeau-Mistassini, Que.",16.28,0.90%,11.9,"$56,383.06","$137,081.00","$130,298.00",2.31,"$1,381.00",14.98%,11302,16.46%,8.97,1.58,0.34,628.72,122.79,90.85,166.4,81.9,56.69,1.91,2.55,-21.22%,5250.18,63.89,61.13,0.98,2.03
