RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,AVERAGE PROPERTY TAX,SALES TAX,INCOME TAX ($),NEW CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,DOCTORS PER '000
33,"Red Deer, Alta.",96.65,2.80%,6.3,"$94,005.94","$374,903.00","$254,760.00",2.71,"$2,204.00",5.00%,9474,17.05%,4.82,1.19,3.34,383.66,119.12,75.04,152.9,83.48,31.91,2.75,0,43.21%,16451.3,163.57,151.08,1.73,2.3
34,"Lethbridge, Alta.",113.824,8.80%,6.3,"$75,911.21","$281,831.00","$193,466.00",2.55,"$1,621.00",13.00%,10198,13.21%,5.19,1.17,1.98,988.32,168.26,137.59,181.5,63.97,8.76,4.83,0.18,-15.29%,9237.53,92.37,89.78,1.48,1.98
35,"Yellowknife, NWT",20.526,2.40%,6,"$138,277.58","$330,992.00","$493,544.00",3.57,"$3,332.00",5.00%,8671,20.42%,22.74,2.62,1.16,170.73,118.51,51.3,140.7,42.78,105.18,-4.28,0.32,0.00%,37002.11,217.2,80,0.44,2.48
36,"West Vancouver, B.C.",44.226,0.90%,7.1,"$180,205.46","$2,729,123.00","$1,639,337.00",9.1,"$4,278.00",12.00%,8611,21.96%,4.79,1.55,9.3,1152.84,168.94,165.06,324.4,76.5,0,10.55,2.25,-28.58%,4109.98,42.08,32.95,1.11,2.46
37,"St. John's, Nfld.",204.371,9.70%,7.6,"$94,789.00","$279,406.00","$297,204.00",3.14,"$1,978.00",13.00%,10198,27.84%,5.89,0.25,2.48,1206.35,211.66,162.64,198.7,52.6,0.6,5.03,0.02,3.29%,8036.84,86.3,77.34,1.21,3.42
38,"Brossard, Que.",83.8,12.70%,6.3,"$94,805.41","$436,484.00","$313,592.00",3.31,"$2,545.00",14.98%,11302,21.66%,3.46,0.63,25.68,798.56,164.56,119.8,205.9,117.5,19.38,6.15,13.88,-23.73%,5056.13,70.83,65.18,0.6,2.34
39,"Vancouver, B.C",642.717,3.70%,7.1,"$80,048.15","$742,353.00","$942,329.00",11.77,"$1,545.00",12.00%,8611,16.53%,12.53,3.57,24.89,1231.11,171.12,167.41,330.5,53.08,0,10.28,0.09,-26.32%,7494.41,100.01,114.91,1.31,2.46
40,"Camrose, Alta.",18.435,6.60%,5.9,"$79,369.31","$328,783.00","$233,456.00",2.94,"$1,621.00",5.00%,9474,13.99%,6.83,0.88,0.19,326.26,114.38,75.46,164.8,82.56,33.78,3.01,0.19,-17.27%,10729.14,103.22,97.21,1.57,2.01
41,"London, Ont.",501.888,3.50%,8.6,"$80,910.56","$340,025.00","$275,233.00",3.4,"$1,942.00",13.00%,8694,20.63%,5.56,1.38,6.38,845.89,168.02,122.39,223,122.46,3.83,7.85,15.32,-17.26%,6955.62,83.36,71.79,1.01,3.09
42,"Brandon, Man.",57.442,14.50%,5.7,"$75,376.14","$254,578.00","$231,707.00",3.07,"$1,551.00",13.00%,11036,15.94%,7.38,1.72,3.86,374.85,116.61,71.99,160.9,102.96,52.84,2.21,4.68,-9.98%,9549.71,89.39,93.94,1.58,2.39
43,"Waterloo, Ont",105.444,0.70%,7.2,"$102,824.65","$550,971.00","$366,219.00",3.56,"$2,596.00",13.00%,8694,18.27%,6.47,2.74,4.23,776.77,165.97,118.73,207.6,115.67,5.99,7.01,9.8,-10.74%,4992.24,58.05,60.75,0.86,1.48
44,"Milton, Ont.",103.491,56.20%,5.6,"$113,938.75","$503,031.00","$491,215.00",4.31,"$3,278.00",13.00%,8694,21.04%,2.48,0.25,4.22,741.49,138.86,112.09,196.3,120.32,8.7,7.1,8.36,-22.97%,1848.1,22.36,11.19,0.58,2.07
45,"Whitehorse, Yukon",27.855,10.50%,7.9,"$96,112.49","$401,980.00","$417,779.00",4.35,"$1,951.00",5.00%,9147,10.88%,7.98,2.67,3.24,160.89,121.22,62.91,144,41.52,48.67,-0.07,0,0.60%,19823.99,129.2,80,1.26,2.23
46,"Saint-Georges, Que.",36.044,7.60%,4.4,"$63,757.01","$248,359.00","$144,725.00",2.27,"$1,563.00",14.98%,11302,19.10%,3.73,0.59,0.51,828.74,150.58,111.35,177.6,102.88,34.32,4.54,3.18,1.47%,4546.88,53.9,53.29,1.25,2.86
47,"Maple Ridge, B.C.",81.149,8.70%,6.8,"$85,762.00","$370,593.00","$377,164.00",4.4,"$1,899.00",12.00%,8611,13.20%,3,0.48,7.36,1839.37,188.1,183.71,297.5,94.4,0,9.9,0.78,-28.31%,8186.5,80.6,73.79,0.74,2.46
48,"Delta, B.C.",104.29,3.70%,6.3,"$98,278.89","$668,015.00","$607,783.00",6.18,"$2,399.00",12.00%,8611,13.75%,3.35,0.43,8.98,899.94,155,152.31,343.8,64.28,0,11.1,0,-21.29%,5699.11,58.79,47.87,0.68,2.46
49,"Caledon, Ont.",64.299,5.10%,6.5,"$126,498.61","$841,557.00","$599,054.00",4.74,"$3,626.00",13.00%,8694,19.94%,2.32,0.11,1.21,750.08,151,111.97,194.6,105.17,8.92,6.3,7.7,-17.24%,2463,25.49,15.73,0.33,2.07
50,"Richmond Hill, Ont.",202.077,13.60%,6.9,"$108,310.59","$841,125.00","$736,515.00",6.8,"$2,859.00",13.00%,8694,25.07%,2.2,0.27,13.18,744.58,165.19,120.17,220.8,118.74,4.69,7.9,22.3,-18.72%,2806.5,35.83,39.07,0.86,2.07
51,"Grande Prairie, Alta.",59.686,12.40%,5.5,"$102,944.74","$368,436.00","$281,551.00",2.73,"$2,313.00",5.00%,9474,23.44%,5.34,0.55,1.97,322.41,128.37,80.35,167.3,78.41,42.02,2.22,0.09,25.91%,20606.92,156.89,124.28,1.41,1.99
52,"Saint-Hyacinthe, Que.",58.689,5.30%,6.1,"$60,325.97","$238,599.00","$188,241.00",3.12,"$1,264.00",14.98%,11302,20.62%,8.85,1.81,1.29,870.84,158.09,122.7,208.8,115.77,20.85,6.4,16.43,-27.80%,4660.54,58.17,47.41,1.31,2.73
53,"Terrebonne, Que.",111.769,10.80%,5.2,"$83,548.82","$244,547.00","$253,472.00",3.03,"$2,216.00",14.98%,11302,22.49%,2.71,0.52,4.94,915.36,166.06,128.95,201.6,110.74,22.71,5.94,8.59,-3.34%,4508.46,57.94,63.74,0.37,2.34
54,"Canmore, Alta.",12.703,-9.90%,6.3,"$108,832.97","$914,563.00","$710,673.00",6.53,"$2,277.00",5.00%,9474,13.98%,13.86,4.26,0.44,322.49,140.6,86.81,159.1,64.19,19.19,3.28,0,-10.63%,7182.13,56.93,41.41,2.44,3.94
55,"Port Coquitlam, B.C",59.32,5.30%,6.5,"$91,237.34","$379,400.00","$438,330.00",4.8,"$1,990.00",12.00%,8611,13.95%,2.61,1.02,11.17,2112.41,184.02,180.73,296.1,92,0,10.02,1.05,-10.14%,7612.94,77.57,70.98,0.32,2.46
56,"Vaughan, Ont",319.727,18.60%,6.7,"$121,035.37","$932,777.00","$720,104.00",5.95,"$3,166.00",13.00%,8694,24.40%,1.42,0.17,9.51,697.01,137.43,108.29,211.7,116.77,6.5,7.56,16.13,-18.72%,2806.5,35.83,39.07,0.67,2.07
57,"Victoriaville, Que.",48.568,8.80%,5.9,"$62,146.85","$221,096.00","$131,530.00",2.12,"$1,440.00",14.98%,11302,16.14%,7.68,1.24,0.58,893.93,165.04,122.59,193.6,100.3,25.1,5.29,8.71,-15.11%,5382.2,61.81,58.43,1.54,2.51
58,"Clarington, Ont.",91.473,8.70%,8,"$98,121.01","$358,511.00","$341,395.00",3.48,"$2,859.00",13.00%,8694,18.66%,2.41,0.31,3.6,773.33,146.36,122.72,219.4,110.56,6.03,7.51,5.78,-26.75%,3626.65,44.71,55.55,0.23,1.47
59,"Centre Wellington, Ont.",28.143,2.80%,5.5,"$94,695.99","$517,696.00","$386,475.00",4.08,"$2,560.00",13.00%,8694,15.26%,5.78,0.96,0.78,797.81,179.49,129.7,208,106.39,7.75,6.68,7,-13.51%,2901.27,33.17,31.23,0.57,1.24
60,"Sherbrooke, Que.",210.032,6.50%,6.3,"$64,259.19","$227,363.00","$224,991.00",3.5,"$1,445.00",14.98%,11302,19.61%,6.75,0.71,4.09,847.89,187.14,127.52,181.8,105.04,34.24,4.53,2.05,-17.72%,4819.76,58.11,50.6,0.92,3.86
61,"Richmond, B.C",205.819,9.10%,7.1,"$79,168.76","$703,240.00","$700,346.00",8.85,"$1,920.00",12.00%,8611,25.09%,3.81,1.37,11.64,1227.79,183.84,180.42,305.3,99.52,0,10.55,0.33,-17.31%,6550.88,78.9,59.53,0.78,2.46
62,"Châteauguay, Que.",48.11,8.60%,7.8,"$74,579.61","$209,999.00","$220,808.00",2.96,"$1,812.00",14.98%,11302,17.03%,4.04,0.8,11.77,784.93,163.32,119.11,217.5,117.05,14.26,6.75,17.55,-9.69%,4055.53,48.85,46.3,0.48,2.34
63,"Kitchener, Ont",234.137,6.70%,7.1,"$80,812.04","$301,924.00","$307,463.00",3.8,"$2,042.00",13.00%,8694,16.04%,4.28,1.13,5.72,776.77,165.97,118.73,207.6,115.67,5.99,7.01,9.8,-10.74%,4992.24,58.05,60.75,1.04,1.48
64,"Salmon Arm, B.C.",18.658,6.80%,7.8,"$65,631.79","$467,043.00","$310,215.00",4.73,"$1,396.00",12.00%,8611,10.25%,9.68,1.47,0.59,468.87,137.96,105.54,213.5,104.5,3.97,7.4,3.56,5.02%,9223.9,77.31,59.36,2.36,3.48
65,"Port Moody, B.C",35.508,14.40%,7.1,"$100,851.03","$585,771.00","$597,965.00",5.93,"$2,182.00",12.00%,8611,17.48%,3.24,0.36,14.04,1913.19,170.41,166.52,304.3,72.48,0,10.2,2.27,-19.25%,4795.82,54.68,67.22,0.2,2.46
66,"Moose Jaw, Sask.",35.313,2.20%,5.5,"$74,332.93","$290,600.00","$247,199.00",3.33,"$1,509.00",10.00%,10195,12.29%,6.43,1.6,0.57,274.1,110.16,66.69,176.6,115.14,36.73,4.23,13.22,-11.89%,12465.94,105.25,55.11,1.08,2.12
67,"Pickering, Ont",94.121,2.30%,8.4,"$111,011.26","$515,270.00","$436,068.00",3.93,"$3,175.00",13.00%,8694,17.48%,2.65,0.22,13.11,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-26.75%,3626.65,44.71,55.55,0.46,2.07
68,"Saint-Eustache, Que.",45.574,5.10%,5.4,"$76,948.95","$232,920.00","$231,530.00",3.01,"$1,895.00",14.98%,11302,22.05%,3.26,1.31,5.47,915.36,166.06,128.95,201.6,110.74,22.71,5.94,8.59,-21.75%,5238.03,61.44,46.39,0.72,2.34
69,"Laval, Que.",420.226,9.30%,6.8,"$78,128.10","$321,887.00","$298,821.00",3.82,"$1,961.00",14.98%,11302,20.93%,2.69,0.49,13.45,790.42,152,117.51,213.4,110.44,19.78,6.44,17.43,-7.69%,4485.04,60.6,71.55,0.5,2.34
70,"Greater Sudbury, Ont.",166.817,1.00%,7.8,"$82,966.49","$275,308.00","$240,525.00",2.9,"$1,771.00",13.00%,8694,18.10%,5.69,0.62,4.89,675.67,166.87,107.56,186.8,95.6,31.51,4.1,5.41,-5.78%,5560.17,71.66,75.37,0.88,2.03
71,Lloydminster (Sask./Alta.),33.788,10.10%,4.4,"$104,495.53","$477,122.00","$311,723.00",2.98,"$2,183.00",5.00%,9474,20.90%,4.54,0.56,0.24,316.74,114.22,68,162.9,83.06,40.91,2.03,1.31,1.13%,17596.72,146.42,143.51,0.89,1.72
72,"Mississauga, Ont",760.66,4.70%,8.7,"$98,736.78","$500,198.00","$527,133.00",5.34,"$2,371.00",13.00%,8694,22.05%,2.41,0.33,15.79,723.1,126.19,110.71,242.4,102.78,2.56,8.44,14.19,-16.57%,3271.38,47.49,57.11,0.7,2.07
73,"Dawson Creek, B.C.",12.452,7.10%,6.7,"$76,532.64","$226,857.00","$259,164.00",3.39,"$1,403.00",12.00%,8611,16.29%,7.71,1.27,0.52,307.18,126.39,73.89,162.3,75.49,48.34,1.92,0.01,-9.17%,17095.69,149.3,163.84,1.53,2.09
74,"Langley, B.C. (DM)",112.431,10.80%,6.1,"$97,796.38","$667,368.00","$572,758.00",5.86,"$2,283.00",12.00%,8611,14.13%,3.19,0.54,2.77,1715.49,194.47,190.07,311.6,109,0,10.85,2.17,-6.16%,8435.17,102.32,89.82,0.7,2.46
75,"Kamloops, B.C.",104.746,5.30%,8.5,"$75,931.69","$359,903.00","$332,798.00",4.38,"$1,601.00",12.00%,8611,12.64%,5.24,1.33,3.65,224.34,105.58,83.28,246,131.99,3.39,9.27,26.04,-12.42%,11568.68,105.86,111.71,1.1,2.5
76,"Victoria, B.C",84.414,2.00%,7.3,"$59,940.57","$349,237.00","$475,855.00",7.94,$986.00,12.00%,8611,10.26%,23.36,9.51,12.61,845.34,155.05,151.86,319.2,78.88,0,11.24,0.44,-29.54%,10852.96,118.65,122.55,3.62,2.98
77,"Hamilton, Ont.",549.165,4.10%,8.7,"$80,671.87","$348,344.00","$333,028.00",4.13,"$2,099.00",13.00%,8694,15.44%,5.01,0.85,8.78,791.67,156.23,117.75,226.8,120.19,3.29,7.91,14.82,-16.14%,5494.36,71.14,76.67,1.04,2.54
78,"Medicine Hat, Alta.",76.023,1.30%,7.1,"$82,571.51","$382,532.00","$240,884.00",2.92,"$1,806.00",5.00%,9474,14.00%,3.35,0.64,1.58,244.79,94.73,59.2,190.4,120.41,22.82,6.08,13.85,-10.82%,7073.43,72.95,78.53,1.32,1.87
79,"Wetaskiwin, Alta.",13.291,6.90%,9.1,"$74,044.60","$272,678.00","$195,788.00",2.64,"$1,559.00",5.00%,9474,13.78%,8.29,1.6,0.99,369.78,110.33,74.06,152.4,88.57,34.94,2.79,0.09,-19.86%,20337.52,150.53,132.91,1.81,2.48
80,"Markham, Ont.",335.947,15.20%,8.1,"$112,387.02","$810,071.00","$648,288.00",5.77,"$3,012.00",13.00%,8694,24.41%,1.8,0.26,14.18,744.58,165.19,120.17,220.8,118.74,4.69,7.9,22.3,-18.72%,2806.5,35.83,39.07,0.65,2.07
81,"Cobourg, Ont.",19.342,1.90%,8.7,"$75,650.15","$360,944.00","$250,881.00",3.32,"$1,949.00",13.00%,8694,17.87%,9.75,1.35,2.04,793.9,123.57,104.84,224.2,96.36,5.17,7.46,4.12,-33.22%,4783.68,40.5,29.32,0.72,2.02
82,"Saint-Jean-sur-Richelieu, Que.",95.593,5.70%,5.6,"$70,368.07","$230,973.00","$234,519.00",3.33,"$1,620.00",14.98%,11302,18.41%,5.11,1.44,5.88,928.32,151.79,119.35,212.7,114.64,17.68,6.63,12.99,-11.51%,5783.78,68.81,64.08,1.09,2.06
83,"Joliette, Que.",49.49,10.10%,7.4,"$61,384.73","$226,331.00","$188,690.00",3.07,"$1,340.00",14.98%,11302,17.84%,7.48,1.93,1.14,813.12,127.17,95.99,201.8,113.38,21.19,6,11.76,1.85%,6653.91,90.43,73.52,1.43,3.96
84,"Coquitlam, B.C",136.457,11.50%,7.2,"$85,627.73","$534,009.00","$553,719.00",6.47,"$1,918.00",12.00%,8611,16.43%,3.48,0.56,13.54,2112.41,184.02,180.73,296.1,92,0,10.02,1.05,-23.26%,6339.25,71.97,59.65,0.48,2.46
85,"Steinbach, Man",15.468,30.50%,5.5,"$70,877.27","$259,476.00","$278,601.00",3.93,"$1,462.00",13.00%,11036,10.37%,10.03,2.94,0.53,473.44,111.06,75.52,165.5,106.62,50.82,2.8,7.33,-16.57%,7602.56,72.95,67.7,1.49,2.69
86,"Okotoks, Alta.",27.506,30.70%,5.8,"$111,090.58","$533,901.00","$371,821.00",3.35,"$2,904.00",5.00%,9474,18.36%,3.99,0.83,3.24,372.6,110.67,70.44,168.8,95.3,21.16,4.59,0.26,-14.87%,7281.72,59.39,39.54,0.51,1.2
86,"Rivière-du-Loup, Que.",28.65,6.60%,5.3,"$64,128.90","$216,883.00","$199,872.00",3.12,"$1,461.00",14.98%,11302,18.10%,8.84,0.37,0.31,695.61,182.73,122.79,184.2,69.59,20.01,3.46,1.26,71.72%,4495.36,47.07,31.45,1.05,3.25
88,"North Battleford, Sask.",19.847,5.30%,6.2,"$70,616.38","$246,228.00","$215,068.00",3.05,"$1,309.00",10.00%,10195,12.80%,7.54,1.26,0.29,292.64,108.35,65.26,161.7,96.23,46.65,2.09,3.95,12.96%,44384.19,352.39,271.4,1.26,2.72
89,"Saint John, N.B.",131.56,4.30%,8.6,"$76,251.96","$217,369.00","$182,463.00",2.39,"$1,567.00",13.00%,10725,20.32%,6.85,0.23,4.13,1075.96,157.9,122.06,198,74.52,14.12,5.17,0.07,-19.60%,8898.84,95.38,102.87,1.09,2.83
90,"Collingwood, Ont.",21.18,13.60%,8,"$79,590.81","$526,686.00","$373,260.00",4.69,"$2,058.00",13.00%,8694,18.56%,8.15,3.15,0.45,725.26,163.02,116.9,216.3,101.19,4.55,7.04,14.8,-20.62%,6881.62,55.59,54.19,1.61,2.64
91,"Peterborough, Ont.",125.121,3.40%,8.5,"$77,636.56","$366,021.00","$282,462.00",3.64,"$1,908.00",13.00%,8694,16.04%,7.62,2.18,2.24,712.54,160.25,119.97,195,117.2,17.08,6.22,6.84,-16.16%,5978.77,74.26,88.36,1.46,2.29
92,"Kelowna, B.C.",192.947,10.20%,8.1,"$76,707.78","$576,411.00","$444,632.00",5.8,"$1,701.00",12.00%,8611,12.40%,4.08,2.09,2.62,311.28,136.64,107.8,215,123.46,2.94,8.12,3.69,-14.87%,11857.2,117.92,97.1,1.46,2.28
93,"Yorkton, Sask.",18.803,4.90%,5.1,"$70,989.37","$320,402.00","$298,953.00",4.21,"$1,439.00",10.00%,10195,13.80%,6.59,1.37,0.71,349.64,119.47,70.98,162.2,95.4,51.99,1.85,3.38,-22.41%,19863.69,165.56,150.62,1.17,2.29
94,"Corner Brook, Nfld.",27.471,1.10%,13.6,"$78,999.40","$203,627.00","$171,590.00",2.17,"$1,628.00",13.00%,10198,22.15%,7.54,0.28,0.78,884.52,405.55,145.17,401.9,130.49,6.45,10.28,1.26,7.77%,8268.26,66.62,52.96,1.49,4
95,"Sorel-Tracy, Que.",49.039,4.70%,5.4,"$62,887.95","$209,689.00","$184,946.00",2.94,"$1,563.00",14.98%,11302,19.76%,6.66,1.58,2.53,801.17,147.72,111.28,208.7,112.94,19.15,6.33,16.35,-17.72%,4819.76,58.11,50.6,1.08,1.61
96,"Estevan, Sask.",13.906,10.20%,5.2,"$115,348.99","$526,233.00","$378,923.00",3.29,"$2,636.00",10.00%,10195,21.17%,5.25,0.58,-,331.56,116.39,73.73,169.2,113.46,40.44,3.73,12.42,17.71%,16258.6,142.4,104.68,0.14,0.65
97,"Fort St. John, B.C.",28.487,4.80%,5.9,"$100,768.32","$327,251.00","$314,189.00",3.12,"$2,047.00",12.00%,8611,24.16%,6.68,0.67,0.44,292.43,118.47,65.97,181.7,64.24,38.77,2.3,0.15,-15.55%,17634.68,161.29,192.03,1.19,1.54
98,"Woodstock, Ont.",40.247,7.30%,7.7,"$73,737.29","$280,148.00","$234,766.00",3.18,"$2,057.00",13.00%,8694,16.65%,6.78,1.36,1.5,848.76,157.69,123.5,216.7,121.7,5.22,7.84,16,-0.95%,6229.74,68.86,47.57,1.07,1.39
99,"Courtenay, B.C.",59.017,9.20%,9,"$67,769.50","$443,417.00","$385,458.00",5.69,"$1,429.00",12.00%,8611,11.35%,6.97,3.94,1.63,1096.45,172.56,168.85,316.4,76.21,0,9.99,0.63,-28.26%,11131.33,83.49,83.64,1.36,2.91
100,"High River, Alta.",13.964,23.40%,4.6,"$84,659.22","$439,045.00","$317,674.00",3.75,"$1,890.00",5.00%,9474,14.27%,5.98,1.73,1.27,363.66,93.18,59.36,161.3,82.44,23.46,4.19,0.14,-0.72%,8724.88,69.7,55.37,1.22,1.2
101,"Trois-Rivières, Que.",157.141,6.50%,7.5,"$62,931.92","$189,937.00","$140,140.00",2.23,"$1,399.00",14.98%,11302,17.22%,5.31,1.24,2.06,863.88,161.11,119.51,196.6,104.15,27.11,5.23,8.24,-5.74%,5740.3,67.33,46.02,1.29,2.13
102,"Burnaby, B.C",239.926,9.90%,7.4,"$74,573.23","$539,152.00","$649,493.00",8.71,"$1,632.00",12.00%,8611,16.22%,4.33,0.79,25.14,1871.01,178.27,173.76,326.3,82.54,0,10.81,4.68,-19.25%,6987.54,88.75,89.11,0.75,2.46
103,"Petawawa, Ont.",17.71,14.50%,5.5,"$87,139.51","$184,287.00","$278,449.00",3.2,"$1,703.00",13.00%,8694,21.75%,3.76,2.63,0.35,620.6,170.15,115.01,180.7,111.15,39.27,4.49,7.11,-10.20%,2509.93,26.62,27.27,0.11,0.9
104,"Baie-Comeau, Que.",29.207,0.50%,5.1,"$76,503.66","$162,141.00","$155,801.00",2.04,"$2,019.00",14.98%,11302,23.27%,5.66,0.77,0.76,697.61,167.26,110.88,167.9,47.08,42.05,1.67,0,-9.82%,6169.74,61.4,59.83,0.38,2.53
105,"Kenora, Ont.",16.785,10.10%,7.6,"$80,973.47","$266,464.00","$239,812.00",2.96,"$1,764.00",13.00%,8694,16.49%,8.61,0.93,0.93,565.27,152.85,89.45,185.5,91.16,45.27,3.11,10.38,337.79%,10796.82,93.02,115.49,1.37,1.91
106,"Cold Lake, Alta.",15.325,15.50%,3.4,"$111,425.03","$241,603.00","$276,515.00",2.48,"$2,377.00",5.00%,9474,21.52%,6.45,1.66,0.36,319.19,117.64,71.42,165.6,85.51,43.74,2.09,1.12,-6.02%,17226.14,130.98,96.79,0.52,1.37
107,"Timmins, Ont.",44.683,1.50%,7.3,"$80,905.89","$242,157.00","$212,070.00",2.62,"$1,707.00",13.00%,8694,23.13%,8.37,0.97,4.06,558.3,183.59,107.21,158.7,88.62,57.97,1.8,4,-4.82%,8463.75,112.44,161.67,1.01,1.61
108,"Sarnia, Ont.",93.512,1.90%,10.2,"$84,993.70","$316,645.00","$206,921.00",2.43,"$2,000.00",13.00%,8694,14.29%,5.08,1.85,1.9,769.99,149.98,116.68,232.5,120.81,2.29,8.34,23.68,2.14%,7472.75,78.02,80.35,0.96,1.59
109,"Thunder Bay, Ont.",126.257,0.00%,8.4,"$75,358.39","$267,786.00","$231,965.00",3.08,"$1,637.00",13.00%,8694,15.98%,5.71,1.47,2.93,539.97,142.86,90.74,161.9,85.48,45.17,2.68,1.71,-17.46%,7580.67,89.38,121.16,1.28,2.39
110,"Terrace, B.C.",16.034,1.30%,8,"$67,761.74","$201,976.00","$178,333.00",2.63,"$1,360.00",12.00%,8611,21.40%,8.79,1.03,1.39,1025.27,206.84,172.44,248.4,54.82,1.42,6.59,1.62,-5.45%,21784.5,145.19,129.54,1.31,2.43
111,"North Bay, Ont.",67.165,2.20%,8.6,"$75,936.45","$271,730.00","$264,953.00",3.49,"$1,634.00",13.00%,8694,21.07%,8.9,1.31,4.51,802.75,180.32,115.74,189.8,91.31,29.49,4.22,4.03,2.12%,6300.94,68.44,63.38,1.18,2.11
112,"Tillsonburg, Ont.",16.263,4.90%,7.2,"$71,939.89","$362,985.00","$216,549.00",3.01,"$2,070.00",13.00%,8694,14.97%,7.51,1.31,0.2,906.39,148.26,116.94,217,121.98,4.13,7.98,17.15,-25.66%,4241.35,44.09,48.34,1.41,1.48
113,"Charlottetown, PEI",69.875,11.50%,9.9,"$72,471.55","$243,127.00","$222,730.00",3.07,"$1,486.00",14.00%,11117,18.23%,7.69,1.08,0.83,887.07,182.36,130.78,205,79.32,6.53,5.65,1.04,6.20%,10808.72,95.1,51.63,1.73,2.58
114,"Swift Current, Sask.",18.162,6.10%,4.1,"$74,189.65","$388,423.00","$315,250.00",4.25,"$1,573.00",10.00%,10195,13.98%,5.8,0.73,0.45,285.33,120.16,68.48,173.7,99.03,29.46,4.09,6.02,0.87%,12724.42,121.68,58.94,0.83,2.7
115,"Granby, Que.",80.992,9.10%,6.1,"$66,381.57","$249,857.00","$216,192.00",3.26,"$1,494.00",14.98%,11302,17.04%,5.53,1.02,0.78,944.28,178.64,127.35,210.2,105.83,16.22,6.28,9.97,-11.86%,4664.83,56.66,47.44,0.83,1.95
116,"Pembroke, Ont.",25.207,4.10%,7.2,"$72,512.46","$267,989.00","$250,264.00",3.45,"$1,529.00",13.00%,8694,15.48%,7.13,1.35,1,620.6,170.15,115.01,180.7,111.15,39.27,4.49,7.11,-14.48%,6663.06,57.73,61.15,0.91,1.71
117,"Dollard-Des Ormeaux, Que.",50.392,1.50%,8,"$99,465.72","$504,408.00","$420,146.00",4.22,"$2,301.00",14.98%,11302,22.48%,2.29,0.45,15.45,784.93,163.32,119.11,217.5,117.05,14.26,6.75,17.55,-20.30%,5786.98,91.83,119.32,0.28,2.34
118,"Rouyn-Noranda, Que.",43.291,5.10%,6,"$71,108.69","$220,314.00","$231,346.00",3.25,"$1,601.00",14.98%,11302,20.91%,9.62,1.17,1.11,651.24,183.19,118.76,163.3,83.29,61,1.72,1.98,-11.37%,5767.69,69.27,59.73,0.95,2.15
119,"Strathmore, Alta.",13.225,16.10%,5.7,"$91,508.76","$462,518.00","$300,820.00",3.29,"$2,000.00",5.00%,9474,14.24%,6.26,0.58,1.03,326.4,111.77,67.89,170.8,87.21,21.7,4.43,0.16,-15.86%,12470.24,106.38,81.72,0.68,2.51
120,"Barrie, Ont.",198.706,4.70%,8.4,"$88,713.53","$351,102.00","$318,596.00",3.59,"$2,411.00",13.00%,8694,19.69%,3.6,0.47,3.44,709.92,156.12,114.36,207.8,112.54,12.2,6.94,15.48,-19.56%,5565.29,56.94,53.52,0.99,1.45
121,"Thompson, Man.",13.711,-5.10%,5.5,"$98,393.22","$118,638.00","$203,597.00",2.07,"$1,927.00",13.00%,11036,21.41%,10.33,0.68,0.64,340.18,144.26,74.94,126.7,66.93,100,-2.85,1.25,-0.64%,40979.73,264.87,336.64,0.29,2.84
122,"Brantford, Ont.",142.829,4.20%,7.6,"$77,970.08","$315,656.00","$279,010.00",3.58,"$2,130.00",13.00%,8694,14.89%,4.49,1.04,2.83,769.62,135.6,114.02,218.2,124.55,5,8.09,19.03,-11.09%,8348.16,100.31,67.73,0.78,1.43
123,"Brooks, Alta.",24.506,1.50%,5.5,"$94,557.13","$366,892.00","$253,867.00",2.68,"$1,925.00",5.00%,9474,15.08%,5.51,0.93,0.19,230.97,92.41,65.32,174.6,115.39,29.24,5.11,3.99,-3.75%,11035.96,97.2,106.22,0.78,0.86
124,"New Westminster, B.C",70.988,11.60%,7.9,"$70,966.91","$316,799.00","$484,887.00",6.83,"$1,356.00",12.00%,8611,13.22%,5.84,0.6,26.54,1920.65,183.1,175.36,320.3,57.03,0,9.61,2.21,-16.75%,9772.76,104.75,105.02,1.63,2.46
125,"Vernon, B.C.",61.731,5.90%,9.2,"$70,229.56","$468,319.00","$375,190.00",5.34,"$1,547.00",12.00%,8611,11.95%,6.58,1.74,0.63,333.29,135.78,103.99,249,107.54,3.07,8.27,11.84,-18.88%,13165.41,132.63,100.39,1.49,2.93
126,"Nanaimo, B.C.",103.959,5.60%,9.3,"$67,894.09","$396,032.00","$367,943.00",5.42,"$1,436.00",12.00%,8611,15.56%,6.32,1.54,2.85,1098.2,175.64,169.96,293.7,96.89,0,10.08,1.47,-8.61%,11837.56,105.71,90.12,1.65,2.6
